Residential,Commercial,Industrial,Total,dates
3078100.0,2016100.0,2425400.0,7770200.0,1990-01-01
2660700.0,2032600.0,2664500.0,7620100.0,1990-02-01
2319400.0,1870300.0,2478800.0,6905400.0,1990-03-01
2173000.0,1882700.0,2541300.0,6835700.0,1990-04-01
2028400.0,1901300.0,2540600.0,6714600.0,1990-05-01
2463300.0,2153600.0,2689200.0,7568100.0,1990-06-01
2933400.0,2288600.0,,8115800.0,1990-07-01
2856900.0,2294200.0,2711100.0,8132700.0,1990-08-01
2874700.0,2309900.0,2720400.0,8172700.0,1990-09-01
2245000.0,2035400.0,2643800.0,7171200.0,1990-10-01
2214300.0,1955000.0,2588900.0,6996400.0,1990-11-01
2531102.0,1951400.0,2477900.0,7190400.0,1990-12-01
3027600.0,2043700.0,2460100.0,7780900.0,1991-01-01
2837300.0,2092700.0,2638100.0,7827500.0,1991-02-01
2382700.0,1876400.0,2415200.0,6909300.0,1991-03-01
2196300.0,1905400.0,2529600.0,6878000.0,1991-04-01
2169900.0,1982300.0,2594100.0,7009600.0,1991-05-01
,2267200.0,2690900.0,7932600.0,1991-06-01
3050600.0,2318800.0,2637900.0,8287000.0,1991-07-01
2998900.0,2334800.0,2713900.0,8331000.0,1991-08-01
2817900.0,2317500.0,2738000.0,8149700.0,1991-09-01
2234100.0,2047000.0,2626000.0,7149200.0,1991-10-01
2363500.0,2005000.0,2611800.0,7223900.0,1991-11-01
2642600.0,1984600.0,2475700.0,7349200.0,1991-12-01
2950700.0,2006700.0,2495300.0,7700100.0,1992-01-01
2833300.0,2056800.0,2651500.0,7798600.0,1992-02-01
2379200.0,1915300.0,2558400.0,,1992-03-01
2281700.0,1929200.0,2607200.0,7064700.0,1992-04-01
2089800.0,1947700.0,2606400.0,6893100.0,1992-05-01
2363600.0,2167500.0,2783200.0,7576700.0,1992-06-01
2863400.0,2297100.0,2736300.0,8166300.0,1992-07-01
2855024.0,2278100.0,2764600.0,8165100.0,1992-08-01
2653100.0,2274600.0,2795900.0,8003300.0,1992-09-01
2256800.0,2059136.0,2687500.0,7252700.0,1992-10-01
2335400.0,1999200.0,2703200.0,7284800.0,1992-11-01
2823200.0,2028300.0,2510600.0,7609600.0,1992-12-01
3025600.0,2076600.0,2493700.0,7848500.0,1993-01-01
2979500.0,2177900.0,2732300.0,8162700.0,1993-02-01
2679200.0,2016200.0,2562500.0,7504100.0,1993-03-01
2323400.0,1993900.0,2630500.0,7195100.0,1993-04-01
2060700.0,1994100.0,2630000.0,6923700.0,1993-05-01
2552700.0,2282800.0,2809000.0,7911300.0,1993-06-01
3259400.0,2453300.0,2735700.0,8715100.0,1993-07-01
3296500.0,2482000.0,2781400.0,8833000.0,1993-08-01
2963500.0,2401300.0,2775200.0,8420800.0,1993-09-01
2315700.0,2115900.0,2671700.0,7367200.0,1993-10-01
2424200.0,2045000.0,,7429500.0,1993-11-01
2828800.0,2084700.0,2612500.0,7782900.0,1993-12-01
3349200.0,2172100.0,2596900.0,8384200.0,1994-01-01
3203000.0,2259900.0,2784400.0,8531000.0,1994-02-01
