Wins,Draws,Losses,GF,GA,Points,Region
20,11,7,34,25,71,North
3,8,27,13,41,17,South
11,9,18,22,33,42,South
12,14,12,27,23,50,North
11,9,18,20,28,42,South
11,14,13,24,25,47,North
23,12,3,33,18,81,South
16,12,10,30,28,60,South
19,9,10,24,20,66,North
19,9,10,22,26,66,South
9,10,19,12,41,37,North
9,7,22,13,37,34,South
18,9,11,20,19,63,South
14,9,15,19,31,51,North
9,12,17,25,42,39,South
12,11,15,22,32,47,North
19,13,6,34,20,70,South
12,9,17,20,31,45,South
10,13,15,14,22,43,North
16,14,8,31,25,62,South
