name,year,fall,mass,reclat,reclong
Aachen,1880.0,Fell,21.0,50.775,6.08333
Aarhus,1951.0,Fell,720.0,56.18333,10.23333
Abee,1952.0,Fell,107000.0,54.21667,-113.0
Acapulco,1976.0,Fell,1914.0,16.88333,-99.9
Achiras,1902.0,Fell,780.0,-33.16667,-64.95
Adhi Kot,1919.0,Fell,4239.0,32.1,71.8
Adzhi-Bogdo (stone),1949.0,Fell,910.0,44.83333,95.16667
Agen,1814.0,Fell,30000.0,44.21667,0.61667
Aguada,1930.0,Fell,1620.0,-31.6,-65.23333
Aguila Blanca,1920.0,Fell,1440.0,-30.86667,-64.55
Aioun el Atrouss,1974.0,Fell,1000.0,16.39806,-9.57028
Aïr,1925.0,Fell,24000.0,19.08333,8.38333
Aire-sur-la-Lys,1769.0,Fell,,50.66667,2.33333
Akaba,1949.0,Fell,779.0,29.51667,35.05
Akbarpur,1838.0,Fell,1800.0,29.71667,77.95
Akwanga,1959.0,Fell,3000.0,8.91667,8.43333
Akyumak,1981.0,Fell,50000.0,39.91667,42.81667
Al Rais,1957.0,Fell,160.0,24.41667,39.51667
Al Zarnkh,2001.0,Fell,700.0,13.66033,28.96
Alais,1806.0,Fell,6000.0,44.11667,4.08333
Albareto,1766.0,Fell,2000.0,44.65,11.01667
Alberta,1949.0,Fell,625.0,2.0,22.66667
Alby sur Chéran,2002.0,Fell,252.0,45.82133,6.01533
Aldsworth,1835.0,Fell,700.0,51.78333,-1.78333
Aleppo,1873.0,Fell,3200.0,36.23333,37.13333
Alessandria,1860.0,Fell,908.0,44.88333,8.75
Alexandrovsky,1900.0,Fell,9251.0,50.95,31.81667
Alfianello,1883.0,Fell,228000.0,45.26667,10.15
Allegan,1899.0,Fell,32000.0,42.53333,-85.88333
Allende,1969.0,Fell,2000000.0,26.96667,-105.31667
Almahata Sitta,2008.0,Fell,3950.0,20.74575,32.41275
Alta'ameem,1977.0,Fell,6000.0,35.27333,44.21556
Ambapur Nagla,1895.0,Fell,6400.0,27.66667,78.25
Andhara,1880.0,Fell,2700.0,26.58333,85.56667
Andover,1898.0,Fell,3200.0,44.61667,-70.75
Andreevka,1969.0,Fell,600.0,48.7,37.5
Andura,1939.0,Fell,17900.0,20.88333,76.86667
Northwest Africa 5815,,Found,256.8,0.0,0.0
Angers,1822.0,Fell,,47.46667,-0.55
Angra dos Reis (stone),1869.0,Fell,1500.0,-22.96667,-44.31667
Ankober,1942.0,Fell,6500.0,9.53333,39.71667
Anlong,1971.0,Fell,2500.0,25.15,105.18333
Aomori,1984.0,Fell,320.0,40.81056,140.78556
Appley Bridge,1914.0,Fell,15000.0,53.58333,-2.71667
Apt,1803.0,Fell,3200.0,43.86667,5.38333
Arbol Solo,1954.0,Fell,810.0,-33.0,-66.0
Archie,1932.0,Fell,5070.0,38.5,-94.3
Arroyo Aguiar,1950.0,Fell,7450.0,-31.41667,-60.66667
Asco,1805.0,Fell,41.0,42.45,9.03333
Ash Creek,2009.0,Fell,9500.0,31.805,-97.01
Ashdon,1923.0,Fell,1300.0,52.05,0.3
Assisi,1886.0,Fell,2000.0,43.03333,12.55
Atarra,1920.0,Fell,1280.0,25.25417,80.625
Atemajac,1896.0,Fell,94.2,20.06667,-103.66667
Athens,1933.0,Fell,265.0,34.75,-87.0
Atoka,1945.0,Fell,1384.2,34.31667,-96.15
Aubres,1836.0,Fell,800.0,44.38333,5.16667
