country,points,price,region_1,winery,description
US,84.0,60.0,Paso Robles,Clos SolÃ¨ne,"This is a simple, slightly sweet wine. It tastes like a pineapple, lime and vanilla pastry melted down into wine, with alcohol giving heat, and acidity to make it crisp."
Argentina,89.0,10.0,Mendoza,Alma del Sur,"Clean and full for starters, with big berry aromas and hints of freshly poured tar as well as minerality. The palate is pure and hits the nail on the head in terms of feel. Flavors of blackberry and plum are dark and generous. Finishes with pepper, espresso and chocolate. Very good wine for the price."
US,88.0,20.0,Santa Barbara County,Alma Rosa,"The acidity on this fine wine makes your mouth water, giving a clean bite to the pineapple, orange, sweet cream, honeysuckle and cinnamon-spice flavors. The balance of tartness and sweetness is what makes the wine so appealing."
US,87.0,28.0,Yakima Valley,Barrage Cellars,"Pure Merlot from the Red Willow vineyard, this does not skimp on the scents and flavors of green herb. It's true to the vineyard's style and will require further bottle age to flesh out a bit and show its best strengths."
US,88.0,20.0,Santa Barbara County,Curtis,"This fun, delicious wine tastes generous in honey, pear, Meyer lemon, orange, nectarine and white flower flavors, which are balanced by zesty acids. The blend is Grenache Blanc, Roussanne and Viognier."
US,87.0,55.0,Carneros,Laird,"Simple and earthy, this ranch-designate shows a wealth of brick color and flavors of cherry cola, raspberry and bay, its full-bodied ripeness offset moderately by acidity."
US,96.0,82.0,Russian River Valley,Williams Selyem,"A vineyard for both Chardonnay and Pinot Noir, Allen is exquisitely detailed in this textured bottling that's weighty, with a tannin backdrop and replete with savory fruit. Wild strawberry, Bing cherry and black tea stand out, with an undercurrent of lushness that's hard to resist."
Argentina,87.0,35.0,La Consulta,Altocedro,"Smoke and burnt rubber are prominent aromas. This PV feels grabby and pushy, with hard tannins. Creamy candied-berry flavors are sweet and chocolaty, while this tastes of oak, caramel and vanilla on the finish."
US,87.0,23.0,Sta. Rita Hills,Lafond,"A robust Syrah, simple and direct, but loaded with flavor, with classic tannins and fine coastal acidity. It's power-packed with blackberries, currants, leather and loads of savory baking spices. Drink now."
France,92.0,65.0,Pomerol,ChÃ¢teau Vray Croix de Gay,"An interesting percentage of Cabernet Franc gives this wine a more perfumed character than is usual in many Pomerols. On the palate, the wine is rich and shows the aromatic character of the berry fruits and well integrated wood. It is young still, needing time. Drink from 2017."
France,92.0,22.0,Pessac-LÃ©ognan,ChÃ¢teau Couhins,"This is a bright wine?still a little closed but promising fine fruitiness for the future. With herbal acidity, lemon and grapefruit flavors and a zesty tang at the end, it will develop relatively quickly. Drink from 2020."
Argentina,87.0,9.0,Mendoza,Espiritu de Argentina,"A far better wine than the previous vintage. This is big, beefy and clean, with bacon on the nose. The palate is perky, zesty and high in acidity, and thus the flavors of cherry and plum are forward and alert. Finishes with snap and pop as it begs for pizza, grilled chicken or a hamburger off the grill."
US,93.0,62.0,Napa Valley,Ramey,"Sites from throughout the valley contribute to the lovely layering of this accessible wine, softly structured and classically inspired in its dried herb and distinct purity of cassis. Delicate despite its ripeness and power, it leaves a smoky hint of sweet tobacco on the finish."
US,92.0,20.0,Russian River Valley,Balletto,"This is a delightful wine, crowd pleasing and complex. It benefits from its lack of oak by focusing on its lifted fruit?a twist of fresh-squeezed lemon and grapefruit?its acidity nicely measured and not one-dimensional. The crisp freshness is complemented by a hint of white rock and subtle lushness on the back palate."
Italy,89.0,36.0,Barolo,Giribaldi,"Forest floor, exotic spice, new leather and a balsamic note of menthol lead the nose. The palate is still youthfully shy and extremely tight, but it eventually reveals suggestions of raw cherry, tart cranberry, espresso and dark spice. Close-grained tannins give the finish a firm squeeze."
US,90.0,17.0,Columbia Gorge (WA),Savage Grace,"An immediately appealing wine with notes of freshly cut apple, apricot, mineral and jasmine. Though it has 17 g/L residual sugar, it drinks barely off dry with the vineyard's electric acidity more than balancing out the midpalate's sugar, providing a dry feel to the drawn-out finish. Equal parts phenolic feel and flavor, put it on the dinner table now to see it at its best."
US,90.0,24.0,Shenandoah Valley (CA),Helwig,"This exuberant wine has sunny pineapple and banana flavors and a rich, almost sweet feeling in the mouth. It's light in color, tropical in aroma and light bodied, with good crispness and a lingering finish."
US,88.0,40.0,Shenandoah Valley (CA),Easton,"Touches of earth, new leather and sweet vermouth fill the aromas and flavors of this edgy but very enjoyable wine. It has a seeming-sweet blend of maraschino cherries, baking spices and spicy, barnyard accents."
France,89.0,15.0,Saumur,Bouvet-Ladubay,"A tight wine with notes of almond and green fruit that add tension to the structure. The acidity is dominant in this complex, textured wine. It could age beautifully over the next 2?? years."
France,90.0,27.0,Alsace,Leon Beyer,"Green and yellow pear notes play on nose and palate. The rounded palate shows some definition, with an enlivening vein of freshness. This wine is easy and dry, with a clean and lasting finish."
US,93.0,130.0,Napa-Sonoma,Pride Mountain,"Few Bordeaux-style wines in California are as ripe and bold as this, but that's the Pride style. The wine explodes in spicy blackberry, currant and cherry fruit, almost like punch, while oak adds toasty notes. A heady wine, it's also brutally firm in tannins. It's a little warm in alcohol, but that shouldn't keep it from aging for at least eight years?and maybe longer."
Italy,92.0,86.0,Brunello di Montalcino,Corte dei Venti,"Spicy and full-bodied, this opens with aromas that suggest sunbaked earth, leafy underbrush, baking spice and a whiff of leather. The smooth, chewy palate doles out ripe Morello cherry, fig, cinnamon, tobacco and star anise alongside solid, velvety tannins. It's already surprisingly approachable and offers fine near- and mid-term enjoyment. Drink 2017??025."
Italy,89.0,30.0,Valpolicella Classico Superiore Ripasso,Accordini Igino,"This has intense fragrances of moist earth, blackberry, raisin and almond. The rich palate offers concentrated black cherry, plum, cinnamon and black pepper flavors. It shows the warmth of the vintage and while it doesn't seem to have enough fresh acidity for long-term aging, it's velvety-smooth and delicious now."
US,87.0,19.0,Dry Creek Valley,Dry Creek Vineyard,"Dry and a little bitter in tannins, with flavors of cherries, cranberries and herbs. It's elegantly constructed and feels silky and balanced in the mouth. A very nice and versatile food wine that will take a few years of cellaring."
Italy,89.0,45.0,Barolo,Tenuta Duecorti,"Aromas of espresso, vanilla, French oak and mature plum come together in the glass. The warm palate delivers juicy black cherry, mocha and anisette alongside fine-grained tannins that grip the finish. Drink 2018??025."
US,81.0,14.0,California,Apothic,"Made from Zinfandel, Merlot, Syrah and Cabernet Sauvignon, this wine has simple flavors of pink bubblegum and white sugar."
US,88.0,12.0,Oregon,A to Z,"The current downturn in demand for both grapes and expensive wines only helps A to Z; there is more good fruit to purchase, and plenty of demand at a $12 price point. This new Pinot Gris is fresh and racy, with a mineral-driven acidity underlying the clean fruit, tasting of pears and pear skin."
Italy,87.0,54.0,Barolo,Rizieri,"Aromas of espresso, sawdust, high-toned fruit and a whiff of vanilla lead the nose. On the palate, notes of chocolate and coconut accent plum, black cherry and cocoa while polished tannins offer support."
US,90.0,32.0,Alexander Valley,Gia Domella,"This is really a nice Cabernet Sauvignon. Soft and polished, it shows herb and cassis flavors, wrapped in rich smoky oak, with a long, dry finish. The tannins are quite strong now, giving the wine a chewy toughness and suggesting moderate aging. Hold until after 2008."
Italy,89.0,18.0,Soave Classico,Cantina del Castello,"This opens with subtle aromas suggesting wild flower and orchard fruit. Round and ripe, the palate shows tropical fruit, pineapple and citrus peel alongside a saline note."
US,86.0,54.0,Sonoma Coast,Pali,"Made in a drink-me-now style, this is a delicately balanced wine, rich in oak, with a wealth of raspberries and cherries. It's soft, delicious and a little high in alcohol."
France,84.0,10.0,Bordeaux,Baron Philippe de Rothschild,"This is a toasty, black-currant-fruited wine. Its structural tannins give a dry character. A touch of green herb and a hard edge of toast indicate that the wine needs another year to soften."
Spain,89.0,15.0,RÃ­as Baixas,RamÃ³n Bilbao,"Apple and melon aromas are clean, stony and direct. This feels juicy while also offering ample body weight. Tangerine and nectarine flavors finish long, minerally and ripe, with none of AlbariÃ±o's common pithy bitterness."
US,89.0,50.0,Napa Valley,Kissos,"A pretty, polished Cabernet, rich and spicy in jammy black raspberry and cherry fruit. Ripe, smooth Napa tannins give it an upscale mouthfeel. Seems best over the next 2?? years."
